INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2012,1,2.1,,,,,,,5,80,15,,,,,,,,,,
2012,2,2.7,,,,,,,,15,70,15,,,,,,,,,
2012,3,,,,,,,,,,,,,,,,,,,,
2012,4,2.2,,,,,,,10,70,20,,,,,,,,,,
2012,5,2.6,,,,,,,,10,80,10,,,,,,,,,
2012,6,2.6,,,,,,,,10,85,5,,,,,,,,,
2012,7,2.4,,,,,,,,,,,,,,,,,,,
2012,8,2.5,,,,,,,1,42,56,1,,,,,,,,,
2012,14,2.3,,,,,,,,,,,,,,,,,,,
2012,15,2.5,,,,,,,,40,60,,,,,,,,,,
2012,16,2.5,0,0,0,0,0,0,2,38,45,15,0,0,,,,,,,
2012,20,2.6,,,,,,,,10,90,,,,,,,,,,
2012,22,2.5,,,,,,,0,30,70,,,,,,,,,,
2012,23,2.5,,,,,,,,20,80,,,,,,,,,,
2012,24,2.5,,,,,,,,50,50,,,,,,,,,,
2012,26,2.5,,,,,,,15,35,35,15,,,,,,,,,
2012,29,2.5,,,,,,,,40,50,10,,,,,,,,,
2012,30,2.5,,,,,,,,,100,,,,,,,,,,
2012,31,2.4,,,,,,,,60,40,,,,,,,,,,
2012,32,2.4,,,,,,1,10,44,42,3,,,,,,,,,
2012,33,2.5,,,,,,,,50,50,,,,,,,,,,
2012,37,2.5,,,,,,,,20,80,,,,,,,,,,
2012,38,2.5,,,,,,,,10,80,10,,,,,,,,,
2012,39,2.5,,,,,,,,10,90,,,,,,,,,,
2012,41,2.4,,,,,,,,80,20,,,,,,,,,,
2012,42,2.4,,,,,,5,20,40,30,5,,,,,,,,,
2012,47,2.5,0,0,1,5,8,11,20,24,25,6,0,0,,,,,,,
2012,48,2.5,,,,,,,,,50,50,,,,,,,,,
2012,52,2.5,0,0,0,0,0,0,0,50,50,0,0,0,,,,,,,
2012,56,2.5,0,0,0,0,0,0,0,30,70,0,0,0,,,,,,,
2012,57,2.4,,,,,,,,,,,,,,,,,,,
2012,58,2.5,,,,,,,,,,,,,,,,,,,
2012,67,2.7,,,,,,5,15,20,30,15,10,5,,,,,,,
2012,68,2.3,,,,,,,,60,40,,,,,,,,,,
2012,70,2.5,,,,,,,,10,90,,,,,,,,,,
2012,82,2.5,,,,,,,,,,,,,,,,,,,
2012,84,2.4,0,0,0,0,0,0,0,55,45,0,0,0,,,,,,,
2012,85,2.5251193197,0,0,0,0,0,0,.0000000204,10.5431999547,89.4479161305,.0088838944,0,0,,,,,,,
2012,88,2.5,,,,,,5,10,21,28,21,10,5,,,,,,,
2012,89,2.5,0,0,0,0,0,0,5,45,45,5,0,0,,,,,,,
2012,92,2.5,0,0,0,0,0,0,0,50,50,0,0,0,,,,,,,
2012,93,2.5,,,,,,2.5,7.5,10,80,,,,,,,,,,
2012,94,2.7,,,,,,,,10,82,8,,,,,,,,,
2012,95,2.3833333333,0,0,0,6.6666666667,0,6.6666666667,6.6666666667,23.3333333333,36.6666666666,13.3333333333,6.6666666667,0,,,,,,,
2012,96,2.3,,,,,,,,55,45,,,,,,,,,,
2012,98,2.6,,,,,,,,20,70,10,,,,,,,,,
2012,99,2.4,,,,,,,20,45,35,,,,,,,,,,
2012,101,2.6,0,0,0,0,0,0,0,10,80,10,0,0,,,,,,,
2012,103,2.5,,,,,,,,40,60,,,,,,,,,,
2012,104,2.5,0,0,0,0,0,0,5,20,60,15,0,0,,,,,,,
2012,105,2.4,,,,,,,,90,10,,,,,,,,,,
2012,107,2.5,0,0,0,0,0,0,0,50,50,0,0,0,,,,,,,
2012,108,2.60339,,,,,,,4.43,25.82,41.17,24.06,4.52,,,,,,,,
2012,110,2.4,0,0,0,0,0,0,.0015916865,49.9984083135,49.9984083135,.0015916865,0,0,,,,,,,
2012,111,2.5,,,,,,,,,100,,,,,,,,,,
2012,112,2.5,,,,,,,5,30,60,5,,,,,,,,,
2013,1,1.8,,,,,,20,50,30,,,,,,,,,,,
2013,2,2.8,,,,,,2,10,18,40,22,8,,,,,,,,
2013,3,,,,,,,,,,,,,,,,,,,,
2013,4,1.6,,,,,5,20,50,20,5,,,,,,,,,,
2013,5,2.1,,,,,,10,20,60,10,,,,,,,,,,
2013,6,1.9,,,,,,5,45,30,20,,,,,,,,,,
2013,7,1.8,,,,,,,,,,,,,,,,,,,
2013,8,2,,,1,4,7,15,26,28,15,3,1,,,,,,,,
2013,14,2,,,,,,,,,,,,,,,,,,,
2013,15,1.9,,,,,,15,55,20,10,,,,,,,,,,
2013,16,2.1,0,1,2,3,8,12,20,23,19,8,3,1,,,,,,,
2013,20,2.1,,,,,,15,35,40,10,,,,,,,,,,
2013,22,1.9,,,,,5,15,50,25,5,,,,,,,,,,
2013,23,1.9,,,,1,10,20,30,25,13,1,,,,,,,,,
2013,24,1.8,,,,,12.5,15,27.5,25,17.5,2.5,,,,,,,,,
2013,26,1.9,,,,,5,20,30,25,15,5,,,,,,,,,
2013,29,2.5,,,,,,,,40,50,10,,,,,,,,,
2013,30,1.9,,,,,,10,50,40,,,,,,,,,,,
2013,31,1.8,,,,,10,20,40,30,,,,,,,,,,,
2013,32,1.9,,,,,5,15,37,25,16,2,,,,,,,,,
2013,33,2,,,,,,,50,50,,,,,,,,,,,
2013,37,2,,,,,,5,41,45,9,,,,,,,,,,
2013,38,1.6,,,,,,20,60,20,,,,,,,,,,,
2013,39,1.9,,,,,10,15,55,15,5,,,,,,,,,,
2013,41,1.8,,,,,,30,60,10,,,,,,,,,,,
2013,42,2,,,,,5,15,30,40,10,,,,,,,,,,
2013,47,2,0,2,3,5,10,12,20,22,18,5,3,0,,,,,,,
2013,48,1.9,,,,,,20,40,40,,,,,,,,,,,
2013,52,1.8,0,0,0,0,0,11,54,30,5,0,0,0,,,,,,,
2013,56,1.9,0,0,0,0,0,5,80,15,0,0,0,0,,,,,,,
2013,57,2.1,,,,,,,,,,,,,,,,,,,
2013,58,1.1,,,,,,,,,,,,,,,,,,,
2013,67,2.2,,,,,5,10,20,30,20,10,5,,,,,,,,
2013,68,1.6,,,,0,15,20,30,25,10,,,,,,,,,,
2013,70,1.6,,,,,,,75,25,,,,,,,,,,,
2013,82,1.8,,,,,,,,,,,,,,,,,,,
2013,84,1.9,0,0,0,0,5,18,30,28,12,6,1,0,,,,,,,
2013,85,1.7989325347,.0004099968,.0107734113,.1630282627,1.394853262,6.7645903138,18.6356243041,29.208905864,26.0662145221,13.2418603263,3.8251873055,.6271773525,.0613750789,,,,,,,
2013,88,1.9,,,2.5,5,9,18,25,22,11,5,2.5,,,,,,,,
2013,89,2.1,0,0,0,0,5,10,20,30,20,10,5,0,,,,,,,
2013,92,1.9,.0005012382,.0123503862,.1775386413,1.4592520009,6.8740797358,16.132733036,28.3785147657,28.9235989099,12.551820396,4.5773831945,.8224467345,.089780961,,,,,,,
2013,93,2.1,,,,,,5,17.5,72.5,5,,,,,,,,,,
2013,94,2.6,,,,,1.5,8,10,20,32,16,10,2.5,,,,,,,
2013,95,1.7512169312,0,.5291005291,2.1164021164,4.5291005291,6.7619047619,20.6984126984,29.0476190477,15.8624338624,12.9894179894,5.291005291,1.1164021164,1.0582010582,,,,,,,
2013,96,1.8,,,,5,10,20,40,15,10,,,,,,,,,,
2013,98,1.8,,,,,5,25,40,20,10,,,,,,,,,,
2013,99,1.7,,,,,,20,50,30,,,,,,,,,,,
2013,101,2,0,0,0,0,5,5,40,40,5,5,0,0,,,,,,,
2013,103,2,,,,,5,15,25,35,15,5,,,,,,,,,
2013,104,1.9,0,0,0,0,5,20,35,25,10,5,0,0,,,,,,,
2013,105,1.7,,,,,5,20,60,15,,,,,,,,,,,
2013,107,1.9,.0005012382,.0123503862,.1775386413,1.4592520009,6.8740797358,16.132733036,28.3785147657,28.9235989099,12.551820396,4.5773831945,.8224467345,.089780961,,,,,,,
2013,108,2.061115,,,,,4.57,13.72,22.87,27.78,19.41,10.08,1.57,,,,,,,,
2013,110,1.8,0,.0000000001,.0000010558,.0018268587,.3960616362,11.5122402458,49.6853186802,34.5618346027,3.7837024621,.0588953508,.000119078,.0000000296,,,,,,,
2013,111,,,,,,,,,,,,,,,,,,,,
2013,112,2,,,,,,10,35,35,15,5,,,,,,,,,
2013Sep,1,1.9,,,,,5,10,60,20,5,,,,,,,,,,
2013Sep,2,2.8,,,,,2,6,10,18,35,20,7,2,,,,,,,
2013Sep,3,2.2,,2.5,2.5,7.5,7.5,12.5,20,25,17.5,2.5,2.5,,,,,,,,
2013Sep,4,1.5,,,,,5,20,50,20,5,,,,,,,,,,
2013Sep,5,2,,,,,10,20,30,30,10,,,,,,,,,,
2013Sep,6,2,,,,,,,30,45,20,5,,,,,,,,,
2013Sep,7,1.6,,,,,,,,,,,,,,,,,,,
2013Sep,8,2,,,,3,6,15,29,31,13,3,,,,,,,,,
2013Sep,14,2,,,,,,,,,,,,,,,,,,,
2013Sep,15,1.9,,,,,5,15,45,25,5,5,,,,,,,,,
2013Sep,16,1.9,1,2,3,4,10,18,23,21,10,5,2,1,,,,,,,
2013Sep,20,2,,,,,,20,40,30,10,,,,,,,,,,
2013Sep,22,1.8,,,,,10,20,45,20,5,,,,,,,,,,
2013Sep,23,1.9,,,,1,13,20,30,24,10,2,,,,,,,,,
2013Sep,24,1.7,,,,5,12.5,20,25,20,12.5,5,,,,,,,,,
2013Sep,26,1.6,,,,,5,25,35,20,15,,,,,,,,,,
2013Sep,29,2.5,,,,,,,,40,50,10,,,,,,,,,
2013Sep,30,1.8,,,,,,15,50,35,,,,,,,,,,,
2013Sep,31,1.5,,,,10,20,30,35,5,,,,,,,,,,,
2013Sep,32,,,,,,,,,,,,,,,,,,,,
2013Sep,33,2,,,,,,,50,50,,,,,,,,,,,
2013Sep,37,1.7,,,,,,8,41,41,9,1,,,,,,,,,
2013Sep,38,1.6,,,,,,20,60,20,,,,,,,,,,,
2013Sep,39,1.7,,,,,,15,65,20,,,,,,,,,,,
2013Sep,41,,,,,,,,,,,,,,,,,,,,
2013Sep,42,1.9,,,,,10,15,35,25,15,,,,,,,,,,
2013Sep,47,1.74,,,,,,,,,,,,,,,,,,,
2013Sep,48,2,,,,,,20,20,60,,,,,,,,,,,
2013Sep,52,1.8,0,0,0,0,0,11,54,30,5,0,0,0,,,,,,,
2013Sep,56,1.6417273245,0,0,0,0,0,20,70,10,0,0,0,0,,,,,,,
2013Sep,57,1.6,,,,,,,,,,,,,,,,,,,
2013Sep,58,,,,,,,,,,,,,,,,,,,,
2013Sep,67,,,,,,,,,,,,,,,,,,,,
2013Sep,68,,,,,,,,,,,,,,,,,,,,
2013Sep,70,,,,,,,,,,,,,,,,,,,,
2013Sep,82,1.5,,,,,,,,,,,,,,,,,,,
2013Sep,84,,,,,,,,,,,,,,,,,,,,
2013Sep,85,1.7121444224,.0029428241,.0448745472,.4337688168,2.5615457755,9.2551088057,20.4844891722,27.7963554432,23.1319485791,11.8035330874,3.6904751262,.7062086919,.0887491307,,,,,,,
2013Sep,88,1.9,,,2.5,5,10,20,25,20,10,5,2.5,,,,,,,,
2013Sep,89,1.9,0,0,0,5,10,15,20,20,15,10,5,0,,,,,,,
2013Sep,92,1.7,.145855586,.619213838,2.2815076078,6.2482215097,12.7214748949,17.1269896139,21.7134738994,20.2511385051,10.4809601466,5.7252997607,2.0294746683,.6563899696,,,,,,,
2013Sep,93,2,,,,,,7.5,17.5,70,5,,,,,,,,,,
2013Sep,94,2.4,,,,,4,8,13,30,20,12,8,5,,,,,,,
2013Sep,95,1.875,0,0,2.25,3,5,17.5,32.75,17.25,9.75,6.25,6.25,0,,,,,,,
2013Sep,96,1.7,,,,5,10,25,40,15,5,,,,,,,,,,
2013Sep,98,1.6,,,,5,15,25,35,15,5,,,,,,,,,,
2013Sep,99,,,,,,,,,,,,,,,,,,,,
2013Sep,101,1.9,,,,,,,,,,,,,,,,,,,
2013Sep,103,1.6,,,,,5,15,35,25,15,5,,,,,,,,,
2013Sep,104,1.8,0,0,0,0,5,15,35,25,15,5,0,0,,,,,,,
2013Sep,105,1.9,,,,,5,20,50,20,5,,,,,,,,,,
2013Sep,107,1.7,.145855586,.619213838,2.2815076078,6.2482215097,12.7214748949,17.1269896139,21.7134738994,20.2511385051,10.4809601466,5.7252997607,2.0294746683,.6563899696,,,,,,,
2013Sep,108,2.04329,,,,.11,5.6,14.08,22.57,26.7,18.78,10.17,1.99,,,,,,,,
2013Sep,110,1.7,.0868056563,.2947016276,1.4583409117,4.7377889384,11.0926300719,18.7216815549,22.7811922028,19.9873851664,12.6434514112,5.7655941706,1.8949138292,.535514459,,,,,,,
2013Sep,111,,,,,,,,,,,,,,,,,,,,
2013Sep,112,2,,,,,,5,30,35,20,10,,,,,,,,,
2014,1,1.9,,,,,5,15,60,15,5,,,,,,,,,,
2014,2,2.5,,,,,5,10,15,20,20,15,10,5,,,,,,,
2014,3,,,,,,,,,,,,,,,,,,,,
2014,4,1.6,,,,5,10,15,40,15,10,5,,,,,,,,,
2014,5,1.8,,,,,,20,50,20,10,,,,,,,,,,
2014,6,2,,,,,,,30,40,30,,,,,,,,,,
2014,7,1.7,,,,,,,,,,,,,,,,,,,
2014,8,1.9,1,2,3,4,9,15,23,22,15,3,2,1,,,,,,,
2014,14,2,,,,,,,,,,,,,,,,,,,
2014,15,1.9,,,,,10,10,35,25,15,5,,,,,,,,,
2014,16,2,1,2,3,8,12,16,18,16,12,8,3,1,,,,,,,
2014,20,2,,,,,5,20,30,35,10,,,,,,,,,,
2014,22,1.8,,,,,10,20,40,20,10,,,,,,,,,,
2014,23,1.5,,,,5,10,20,25,18,15,5,2,,,,,,,,
2014,24,1.7,,,,5,12.5,22.5,25,20,10,5,,,,,,,,,
2014,26,1.9,,,,2.5,7.5,20,25,25,15,5,,,,,,,,,
2014,29,2.5,,,,,,,,40,50,10,,,,,,,,,
2014,30,,,,,,,,,,,,,,,,,,,,
2014,31,2.2,,,,,5,15,30,35,10,5,,,,,,,,,
2014,32,,,,,,,,,,,,,,,,,,,,
2014,33,2,,,,,,20,30,30,20,,,,,,,,,,
2014,37,2,,,,,,4,40,45,10,1,,,,,,,,,
2014,38,1.8,,,,,,20,60,20,,,,,,,,,,,
2014,39,1.9,,,,,5,15,60,15,5,,,,,,,,,,
2014,41,1.7,,,,,,20,60,20,,,,,,,,,,,
2014,42,1.9,,,,,5,10,40,35,10,,,,,,,,,,
2014,47,1.9,0,3,5,8,10,12,20,20,15,4,3,0,,,,,,,
2014,48,,,,,,,,,,,,,,,,,,,,
2014,52,1.5,0,0,0,1,6,39,42,11,1,0,0,0,,,,,,,
2014,56,1.9,0,0,0,0,0,15,70,15,0,0,0,0,,,,,,,
2014,57,2,,,,,,,,,,,,,,,,,,,
2014,58,.6,,,,,,,,,,,,,,,,,,,
2014,67,2.5,,,,,,5,10,20,30,20,10,5,,,,,,,
2014,68,1.6,,,,0,15,20,30,25,10,,,,,,,,,,
2014,70,1.5,,,,,,10,65,25,,,,,,,,,,,
2014,82,,,,,,,,,,,,,,,,,,,,
2014,84,1.9,0,0,0,1,8,17,26,25,15,6,1,1,,,,,,,
2014,85,1.4693916318,.1252181898,.6202393132,2.4966626941,7.1755184062,14.7293147238,21.599807056,22.6313968359,16.9423606741,9.0613921586,3.4616607722,.9443007239,.2121284522,,,,,,,
2014,88,1.8,,,2.5,5,10,20,25,20,10,5,2.5,,,,,,,,
2014,89,1.9,0,0,0,2.5,7.5,15,25,25,15,7.5,2.5,0,,,,,,,
2014,92,1.9,.0070189474,.0743277779,.5492047888,2.6718079514,8.5651126071,15.8646161422,24.884950228,25.8410638702,13.1406440786,6.3089258157,1.7366792159,.3556485768,,,,,,,
2014,93,1.9,,,,,,2.5,62.5,35,,,,,,,,,,,
2014,94,2.2,,,,2,6,12,15,30,18,10,5,2,,,,,,,
2014,95,1.8512169312,0,.5291005291,1.1164021164,2.5291005291,7.7619047619,17.6984126984,29.0476190477,18.8624338624,13.9894179894,5.291005291,2.1164021164,1.0582010582,,,,,,,
2014,96,2,,,,,,,,,,,,,,,,,,,
2014,98,1.6,,,,5,15,25,35,15,5,,,,,,,,,,
2014,99,,,,,,,,,,,,,,,,,,,,
2014,101,,,,,,,,,,,,,,,,,,,,
2014,103,,,,,,,,,,,,,,,,,,,,
2014,104,1.8,0,0,0,0,5,15,35,25,15,5,0,0,,,,,,,
2014,105,1.9,,,,,5,15,55,20,5,,,,,,,,,,
2014,107,1.9,.0070189474,.0743277779,.5492047888,2.6718079514,8.5651126071,15.8646161422,24.884950228,25.8410638702,13.1406440786,6.3089258157,1.7366792159,.3556485768,,,,,,,
2014,108,2.05408,,,,.49,6.44,13.93,21.42,25.3,18.41,10.8,3.21,,,,,,,,
2014,110,1.8,.0000002904,.0000298299,.0038649159,.1761887036,2.8842846087,17.2133980978,37.9582542521,31.1553024813,9.499722667,1.0650550992,.043268188,.0006308661,,,,,,,
2014,111,,,,,,,,,,,,,,,,,,,,
2014,112,2.5,,,,,,5,20,35,30,10,,,,,,,,,
2014Sep,1,1.9,,,,,5,10,60,20,5,,,,,,,,,,
2014Sep,2,2.4,,,,2,5,10,15,18,18,17,12,3,,,,,,,
2014Sep,3,,,,,,,,,,,,,,,,,,,,
2014Sep,4,1.7,,,,5,10,15,40,15,10,5,,,,,,,,,
2014Sep,5,1.7,,,,,10,30,30,30,,,,,,,,,,,
2014Sep,6,2,,,,,,5,25,45,20,5,,,,,,,,,
2014Sep,7,1.8,,,,,,,,,,,,,,,,,,,
2014Sep,8,2,1,2,3,4,9,15,22,23,15,3,2,1,,,,,,,
2014Sep,14,2,,,,,,,,,,,,,,,,,,,
2014Sep,15,1.8,,,,,5,25,40,15,10,5,,,,,,,,,
2014Sep,16,2,0,1,2,3,8,12,20,23,19,8,3,1,,,,,,,
2014Sep,20,2,,,,,5,20,30,35,10,,,,,,,,,,
2014Sep,22,1.9,,,,,10,25,40,20,5,,,,,,,,,,
2014Sep,23,1.6,,,,5,10,18,25,20,15,5,2,,,,,,,,
2014Sep,24,1.5,,,5,7.5,15,22.5,22.5,12.5,10,5,,,,,,,,,
2014Sep,26,1.9,,,,2.5,7.5,20,25,25,15,5,,,,,,,,,
2014Sep,29,2.5,,,,,,,,40,50,10,,,,,,,,,
2014Sep,30,,,,,,,,,,,,,,,,,,,,
2014Sep,31,2.4,,,,,10,20,25,30,10,5,,,,,,,,,
2014Sep,32,,,,,,,,,,,,,,,,,,,,
2014Sep,33,2,,,,,,20,30,30,20,,,,,,,,,,
2014Sep,37,2.2,,,,,,2,20,45,30,3,,,,,,,,,
2014Sep,38,1.9,,,,,,20,60,20,,,,,,,,,,,
2014Sep,39,1.9,,,,,5,15,60,15,5,,,,,,,,,,
2014Sep,41,,,,,,,,,,,,,,,,,,,,
2014Sep,42,2,,,,,5,15,30,35,15,,,,,,,,,,
2014Sep,47,2.06,,,,,,,,,,,,,,,,,,,
2014Sep,48,,,,,,,,,,,,,,,,,,,,
2014Sep,52,1.5,0,0,0,1,6,39,42,11,1,0,0,0,,,,,,,
2014Sep,56,2,0,0,0,0,5,10,15,55,15,0,0,0,,,,,,,
2014Sep,57,1.8,,,,,,,,,,,,,,,,,,,
2014Sep,58,,,,,,,,,,,,,,,,,,,,
2014Sep,67,,,,,,,,,,,,,,,,,,,,
2014Sep,68,,,,,,,,,,,,,,,,,,,,
2014Sep,70,,,,,,,,,,,,,,,,,,,,
2014Sep,82,,,,,,,,,,,,,,,,,,,,
2014Sep,84,,,,,,,,,,,,,,,,,,,,
2014Sep,85,1.5222152514,.1786594269,.7399832844,2.6549994882,7.0479591522,13.8456707452,20.1319060164,21.6678128419,17.2628418355,10.1801149753,4.4430564213,1.4348849146,.4121108981,,,,,,,
2014Sep,88,1.8,,,2.5,5,10,20,25,20,10,5,2.5,,,,,,,,
2014Sep,89,1.9,0,0,2.5,7.5,10,17.5,25,17.5,7.5,5,5,2.5,,,,,,,
2014Sep,92,1.8,.229022557,.7642717333,2.4249440274,5.9851190512,11.4924391883,15.2564053591,19.88383368,20.0411283421,11.710460498,7.4734467445,3.2648570626,1.4740717565,,,,,,,
2014Sep,93,2.2,,,,,,,20,60,20,,,,,,,,,,
2014Sep,94,1.9,,,2,4,10,13,25,17,12,9,6,2,,,,,,,
2014Sep,95,1.835,0,0,1.25,2,4,21.5,33.75,18.25,10.75,6.25,2.25,0,,,,,,,
2014Sep,96,2,,,,,,,,,,,,,,,,,,,
